,data,denominazione_regione,hospitalized_with_symptoms,intensive_care,total_hospitalized,home_isolation,total_positives,discharged_healed,deceased,total_cases,swabs
0,2020-02-24,Abruzzo,0,0,0,0,0,0,0,0,5
1,2020-02-24,Basilicata,0,0,0,0,0,0,0,0,0
2,2020-02-24,Calabria,0,0,0,0,0,0,0,0,1
3,2020-02-24,Campania,0,0,0,0,0,0,0,0,10
4,2020-02-24,Emilia-Romagna,10,2,12,6,18,0,0,18,148
5,2020-02-24,Friuli Venezia Giulia,0,0,0,0,0,0,0,0,58
6,2020-02-24,Lazio,1,1,2,0,2,1,0,3,124
7,2020-02-24,Liguria,0,0,0,0,0,0,0,0,1
8,2020-02-24,Lombardia,76,19,95,71,166,0,6,172,1463
9,2020-02-24,Marche,0,0,0,0,0,0,0,0,16
10,2020-02-24,Molise,0,0,0,0,0,0,0,0,0
11,2020-02-24,Piemonte,2,0,2,1,3,0,0,3,141
12,2020-02-24,Puglia,0,0,0,0,0,0,0,0,0
13,2020-02-24,Sardegna,0,0,0,0,0,0,0,0,1
14,2020-02-24,Sicilia,0,0,0,0,0,0,0,0,5
15,2020-02-24,Toscana,0,0,0,0,0,0,0,0,140
16,2020-02-24,Trentino-Alto Adige,0,0,0,0,0,0,0,0,4
17,2020-02-24,Umbria,0,0,0,0,0,0,0,0,0
18,2020-02-24,Valle d'Aosta,0,0,0,0,0,0,0,0,7
19,2020-02-24,Veneto,12,4,16,16,32,0,1,33,2200
20,2020-02-25,Abruzzo,0,0,0,0,0,0,0,0,0
21,2020-02-25,Basilicata,0,0,0,0,0,0,0,0,0
22,2020-02-25,Calabria,0,0,0,0,0,0,0,0,1
23,2020-02-25,Campania,0,0,0,0,0,0,0,0,0
24,2020-02-25,Emilia-Romagna,5,0,5,3,8,0,0,8,243
25,2020-02-25,Friuli Venezia Giulia,0,0,0,0,0,0,0,0,31
26,2020-02-25,Lazio,0,0,0,0,0,0,0,0,0
27,2020-02-25,Liguria,1,0,1,0,1,0,0,1,38
28,2020-02-25,Lombardia,3,6,9,56,65,0,3,68,2237
29,2020-02-25,Marche,0,0,0,0,0,0,0,0,5
30,2020-02-25,Molise,0,0,0,0,0,0,0,0,0
31,2020-02-25,Piemonte,0,0,0,0,0,0,0,0,0
32,2020-02-25,Puglia,0,0,0,0,0,0,0,0,0
33,2020-02-25,Sardegna,0,0,0,0,0,0,0,0,0
34,2020-02-25,Sicilia,1,0,1,2,3,0,0,3,0
35,2020-02-25,Toscana,2,0,2,0,2,0,0,2,156
36,2020-02-25,Trentino-Alto Adige,1,0,1,0,1,0,0,1,0
37,2020-02-25,Umbria,0,0,0,0,0,0,0,0,8
38,2020-02-25,Valle d'Aosta,0,0,0,0,0,0,0,0,0
39,2020-02-25,Veneto,0,3,3,7,10,0,0,10,1580
40,2020-02-26,Abruzzo,0,0,0,0,0,0,0,0,8
41,2020-02-26,Basilicata,0,0,0,0,0,0,0,0,0
42,2020-02-26,Calabria,0,0,0,0,0,0,0,0,1
43,2020-02-26,Campania,0,0,0,0,0,0,0,0,0
44,2020-02-26,Emilia-Romagna,5,1,6,14,20,0,1,21,186
45,2020-02-26,Friuli Venezia Giulia,0,0,0,0,0,0,0,0,25
46,2020-02-26,Lazio,0,0,0,0,0,2,0,0,0
47,2020-02-26,Liguria,5,0,5,5,10,0,0,10,27
48,2020-02-26,Lombardia,0,0,0,18,18,0,0,18,0
49,2020-02-26,Marche,1,0,1,0,1,0,0,1,7
50,2020-02-26,Molise,0,0,0,0,0,0,0,0,0
51,2020-02-26,Piemonte,0,0,0,0,0,0,0,0,15
52,2020-02-26,Puglia,0,0,0,0,0,0,0,0,0
53,2020-02-26,Sardegna,0,0,0,0,0,0,0,0,0
54,2020-02-26,Sicilia,0,0,0,0,0,0,0,0,0
55,2020-02-26,Toscana,0,0,0,0,0,0,0,0,67
56,2020-02-26,Trentino-Alto Adige,0,0,0,0,0,0,0,0,0
57,2020-02-26,Umbria,0,0,0,0,0,0,0,0,0
58,2020-02-26,Valle d'Aosta,0,0,0,0,0,0,0,0,0
59,2020-02-26,Veneto,4,1,5,22,27,0,1,28,1120
60,2020-02-27,Abruzzo,1,0,1,0,1,0,0,1,20
61,2020-02-27,Basilicata,0,0,0,0,0,0,0,0,0
62,2020-02-27,Calabria,0,0,0,0,0,0,0,0,11
63,2020-02-27,Campania,2,0,2,1,3,0,0,3,0
64,2020-02-27,Emilia-Romagna,16,3,19,31,50,0,0,50,456
65,2020-02-27,Friuli Venezia Giulia,0,0,0,0,0,0,0,0,27
66,2020-02-27,Lazio,0,0,0,0,0,0,0,0,428
67,2020-02-27,Liguria,3,0,3,5,8,0,0,8,12
68,2020-02-27,Lombardia,93,16,109,0,100,40,5,145,112
69,2020-02-27,Marche,1,1,2,0,2,0,0,2,18
70,2020-02-27,Molise,0,0,0,0,0,0,0,0,0
71,2020-02-27,Piemonte,0,0,0,0,0,0,0,0,0
72,2020-02-27,Puglia,1,0,1,0,1,0,0,1,0
73,2020-02-27,Sardegna,0,0,0,0,0,0,0,0,0
74,2020-02-27,Sicilia,0,0,0,0,0,2,0,1,0
75,2020-02-27,Toscana,0,0,0,0,0,0,0,0,47
76,2020-02-27,Trentino-Alto Adige,0,0,0,0,0,0,0,0,30
77,2020-02-27,Umbria,0,0,0,0,0,0,0,0,0
78,2020-02-27,Valle d'Aosta,0,0,0,0,0,0,0,0,2
79,2020-02-27,Veneto,3,0,3,37,40,0,0,40,1264
80,2020-02-28,Abruzzo,0,0,0,0,0,0,0,0,0
81,2020-02-28,Basilicata,0,0,0,0,0,0,0,0,0
82,2020-02-28,Calabria,0,0,0,1,1,0,0,1,7
83,2020-02-28,Campania,0,0,0,1,1,0,0,1,203
84,2020-02-28,Emilia-Romagna,20,0,20,27,47,0,1,48,244
85,2020-02-28,Friuli Venezia Giulia,0,0,0,0,0,0,0,0,28
86,2020-02-28,Lazio,0,0,0,0,0,0,0,0,59
87,2020-02-28,Liguria,0,0,0,0,0,0,0,0,34
88,2020-02-28,Lombardia,63,6,69,56,125,0,3,128,1515
89,2020-02-28,Marche,1,1,2,1,3,0,0,3,1
90,2020-02-28,Molise,0,0,0,0,0,0,0,0,0
91,2020-02-28,Piemonte,5,0,5,4,9,0,0,9,71
92,2020-02-28,Puglia,0,0,0,2,2,0,0,2,242
93,2020-02-28,Sardegna,0,0,0,0,0,0,0,0,0
94,2020-02-28,Sicilia,0,0,0,0,0,0,0,0,0
95,2020-02-28,Toscana,3,0,3,2,5,1,0,6,27
96,2020-02-28,Trentino-Alto Adige,0,0,0,0,0,0,0,0,0
97,2020-02-28,Umbria,0,0,0,0,0,0,0,0,0
98,2020-02-28,Valle d'Aosta,0,0,0,0,0,0,0,0,0
99,2020-02-28,Veneto,5,1,6,34,40,0,0,40,1250
100,2020-02-29,Abruzzo,1,0,1,0,1,0,0,1,10
101,2020-02-29,Basilicata,0,0,0,0,0,0,0,0,32
102,2020-02-29,Calabria,0,0,0,0,0,0,0,0,6
103,2020-02-29,Campania,1,0,1,8,9,0,0,9,160
104,2020-02-29,Emilia-Romagna,30,5,35,35,70,0,2,72,273
105,2020-02-29,Friuli Venezia Giulia,0,0,0,0,0,0,0,0,20
106,2020-02-29,Lazio,3,0,3,0,3,0,0,3,68
107,2020-02-29,Liguria,0,1,0,23,19,4,0,23,9
108,2020-02-29,Lombardia,21,33,54,24,78,0,6,84,888
109,2020-02-29,Marche,3,0,3,2,5,0,0,5,21
110,2020-02-29,Molise,0,0,0,0,0,0,0,0,0
111,2020-02-29,Piemonte,0,0,0,0,0,0,0,0,81
112,2020-02-29,Puglia,0,0,0,0,0,0,0,0,10
113,2020-02-29,Sardegna,0,0,0,0,0,0,0,0,0
114,2020-02-29,Sicilia,0,0,0,0,0,0,0,0,1
115,2020-02-29,Toscana,2,0,2,1,3,0,0,3,94
116,2020-02-29,Trentino-Alto Adige,0,0,0,0,0,0,0,0,25
117,2020-02-29,Umbria,0,0,0,0,0,0,0,0,23
118,2020-02-29,Valle d'Aosta,0,0,0,0,0,0,0,0,0
119,2020-02-29,Veneto,0,2,2,38,40,0,0,40,1245
120,2020-03-01,Abruzzo,1,0,1,2,3,0,0,3,9
121,2020-03-01,Basilicata,0,0,0,0,0,0,0,0,7
122,2020-03-01,Calabria,0,0,0,0,0,0,0,0,8
123,2020-03-01,Campania,1,0,1,3,4,0,0,4,0
124,2020-03-01,Emilia-Romagna,41,2,43,21,64,0,4,68,245
125,2020-03-01,Friuli Venezia Giulia,0,0,0,6,6,0,0,6,54
126,2020-03-01,Lazio,0,0,0,0,0,0,0,0,45
127,2020-03-01,Liguria,8,0,8,0,0,0,0,0,0
128,2020-03-01,Lombardia,150,26,176,159,335,33,1,369,1156
129,2020-03-01,Marche,6,3,9,5,14,0,0,14,33
130,2020-03-01,Molise,0,0,0,0,0,0,0,0,6
131,2020-03-01,Piemonte,4,2,6,32,38,0,0,38,54
132,2020-03-01,Puglia,0,0,0,0,0,0,0,0,10
133,2020-03-01,Sardegna,0,0,0,0,0,0,0,0,28
134,2020-03-01,Sicilia,0,0,0,5,5,0,0,5,285
135,2020-03-01,Toscana,0,0,0,2,2,0,0,2,41
136,2020-03-01,Trentino-Alto Adige,0,0,0,0,0,0,0,0,83
137,2020-03-01,Umbria,0,0,0,2,2,0,0,2,4
138,2020-03-01,Valle d'Aosta,0,0,0,0,0,0,0,0,1
139,2020-03-01,Veneto,27,2,29,43,72,0,0,72,397
140,2020-03-02,Abruzzo,0,0,0,0,0,0,0,0,0
141,2020-03-02,Basilicata,0,0,0,0,0,0,0,0,0
142,2020-03-02,Calabria,0,0,0,0,0,0,0,0,4
143,2020-03-02,Campania,0,0,0,0,0,0,0,0,0
144,2020-03-02,Emilia-Romagna,21,3,24,23,47,0,3,50,178
145,2020-03-02,Friuli Venezia Giulia,0,0,0,3,3,0,0,3,26
146,2020-03-02,Lazio,0,0,0,1,1,0,0,1,49
147,2020-03-02,Liguria,0,0,0,0,0,0,0,0,0
148,2020-03-02,Lombardia,72,21,93,97,190,66,14,270,1046
149,2020-03-02,Marche,5,1,6,3,9,0,1,10,36
150,2020-03-02,Molise,0,0,0,0,0,0,0,0,7
151,2020-03-02,Piemonte,1,0,1,1,2,0,0,2,72
152,2020-03-02,Puglia,1,0,1,0,1,0,0,1,16
153,2020-03-02,Sardegna,0,0,0,0,0,0,0,0,0
154,2020-03-02,Sicilia,1,0,1,0,0,0,0,0,16
155,2020-03-02,Toscana,0,0,0,0,0,0,0,0,41
156,2020-03-02,Trentino-Alto Adige,0,0,0,0,0,0,0,0,0
157,2020-03-02,Umbria,0,0,0,0,0,0,0,0,0
158,2020-03-02,Valle d'Aosta,0,0,0,0,0,0,0,0,1
159,2020-03-02,Veneto,2,1,3,7,10,0,0,10,726
160,2020-03-03,Abruzzo,2,0,2,0,1,0,0,1,0
161,2020-03-03,Basilicata,0,0,0,1,1,0,0,1,3
162,2020-03-03,Calabria,0,0,0,0,0,0,0,0,0
163,2020-03-03,Campania,7,0,7,6,13,0,0,13,32
164,2020-03-03,Emilia-Romagna,39,8,47,27,74,4,7,85,39
165,2020-03-03,Friuli Venezia Giulia,1,0,1,3,4,0,0,4,85
166,2020-03-03,Lazio,7,0,7,0,7,0,0,7,104
167,2020-03-03,Liguria,0,1,1,0,1,0,1,2,0
168,2020-03-03,Lombardia,220,40,260,0,249,0,17,266,1652
169,2020-03-03,Marche,10,7,17,8,25,0,1,26,63
170,2020-03-03,Molise,3,0,3,0,3,0,0,3,0
171,2020-03-03,Piemonte,1,1,2,3,5,0,0,5,24
172,2020-03-03,Puglia,0,0,0,2,2,0,0,2,20
173,2020-03-03,Sardegna,1,0,1,0,1,0,0,1,0
174,2020-03-03,Sicilia,0,0,0,0,0,0,0,0,0
175,2020-03-03,Toscana,3,0,3,3,6,0,0,6,84
176,2020-03-03,Trentino-Alto Adige,1,0,1,3,4,0,0,4,0
177,2020-03-03,Umbria,1,1,2,4,6,0,0,6,10
178,2020-03-03,Valle d'Aosta,0,0,0,0,0,0,0,0,1
179,2020-03-03,Veneto,0,5,1,25,26,7,1,34,394
180,2020-03-04,Abruzzo,2,0,2,0,1,0,0,1,33
181,2020-03-04,Basilicata,0,0,0,0,0,0,0,0,6
182,2020-03-04,Calabria,0,0,0,0,0,0,0,0,7
183,2020-03-04,Campania,0,0,0,1,1,0,0,1,24
184,2020-03-04,Emilia-Romagna,69,2,71,47,118,2,4,124,488
185,2020-03-04,Friuli Venezia Giulia,2,0,2,3,5,0,0,5,22
186,2020-03-04,Lazio,5,3,8,8,16,0,0,16,118
187,2020-03-04,Liguria,0,1,0,3,2,0,0,2,12
188,2020-03-04,Lombardia,179,42,221,0,171,111,18,300,2561
189,2020-03-04,Marche,7,2,9,12,21,0,2,23,88
190,2020-03-04,Molise,0,0,0,0,0,0,0,0,6
191,2020-03-04,Piemonte,13,10,23,3,26,0,0,26,85
192,2020-03-04,Puglia,2,0,2,0,1,1,1,3,24
193,2020-03-04,Sardegna,0,0,0,1,1,0,0,1,13
194,2020-03-04,Sicilia,3,0,3,8,11,0,0,11,60
195,2020-03-04,Toscana,5,2,7,12,19,0,0,19,79
196,2020-03-04,Trentino-Alto Adige,0,0,0,1,1,0,0,1,0
197,2020-03-04,Umbria,0,0,0,1,1,0,0,1,13
198,2020-03-04,Valle d'Aosta,0,0,0,0,0,0,0,0,3
199,2020-03-04,Veneto,27,4,31,17,48,2,3,53,339
200,2020-03-05,Abruzzo,1,0,1,0,1,0,0,1,11
201,2020-03-05,Basilicata,0,0,0,0,0,0,0,0,6
202,2020-03-05,Calabria,1,0,1,0,1,0,0,1,7
203,2020-03-05,Campania,1,0,1,13,14,0,0,14,42
204,2020-03-05,Emilia-Romagna,71,6,77,65,142,4,8,154,384
205,2020-03-05,Friuli Venezia Giulia,1,0,1,2,3,0,0,3,21
206,2020-03-05,Lazio,5,4,9,5,14,0,0,14,180
207,2020-03-05,Liguria,1,0,1,0,0,0,2,2,13
208,2020-03-05,Lombardia,292,35,327,0,280,126,25,431,216
209,2020-03-05,Marche,23,4,27,13,40,0,0,40,125
210,2020-03-05,Molise,1,0,1,3,4,0,0,4,5
211,2020-03-05,Piemonte,17,4,21,3,24,0,2,26,0
212,2020-03-05,Puglia,1,1,2,3,5,0,0,5,37
213,2020-03-05,Sardegna,1,0,1,0,0,0,0,0,8
214,2020-03-05,Sicilia,0,0,0,0,0,0,0,0,0
215,2020-03-05,Toscana,11,1,12,11,23,0,0,23,0
216,2020-03-05,Trentino-Alto Adige,1,0,1,1,2,0,0,2,0
217,2020-03-05,Umbria,0,0,0,0,0,0,0,0,30
218,2020-03-05,Valle d'Aosta,0,0,0,2,2,0,0,2,6
219,2020-03-05,Veneto,16,1,17,18,35,8,4,47,1434
220,2020-03-06,Abruzzo,1,0,1,0,1,0,0,1,0
221,2020-03-06,Basilicata,1,0,1,1,2,0,0,2,9
222,2020-03-06,Calabria,1,0,1,1,2,0,0,2,46
223,2020-03-06,Campania,0,0,0,12,12,0,0,12,0
224,2020-03-06,Emilia-Romagna,70,21,91,67,158,7,7,172,252
225,2020-03-06,Friuli Venezia Giulia,0,0,0,7,7,3,0,10,180
226,2020-03-06,Lazio,6,1,7,2,9,0,1,10,198
227,2020-03-06,Liguria,1,2,3,0,3,1,0,4,83
228,2020-03-06,Lombardia,453,65,518,0,231,93,37,361,1202
229,2020-03-06,Marche,16,1,17,18,35,0,0,35,172
230,2020-03-06,Molise,0,2,1,4,5,0,0,5,80
231,2020-03-06,Piemonte,14,13,27,6,33,0,2,35,250
232,2020-03-06,Puglia,0,0,0,3,3,0,0,3,36
233,2020-03-06,Sardegna,0,0,0,3,3,0,0,3,49
234,2020-03-06,Sicilia,2,0,2,4,6,0,0,6,0
235,2020-03-06,Toscana,9,2,11,7,18,0,0,18,321
236,2020-03-06,Trentino-Alto Adige,5,0,5,1,6,0,0,6,16
237,2020-03-06,Umbria,1,1,2,5,7,0,0,7,22
238,2020-03-06,Valle d'Aosta,0,0,0,5,5,0,0,5,7
239,2020-03-06,Veneto,25,3,28,46,74,5,2,81,1074
240,2020-03-07,Abruzzo,2,0,2,0,2,0,0,2,27
241,2020-03-07,Basilicata,0,0,0,0,0,0,0,0,12
242,2020-03-07,Calabria,0,0,0,0,0,0,0,0,14
243,2020-03-07,Campania,4,0,4,0,4,0,0,4,141
244,2020-03-07,Emilia-Romagna,67,11,78,43,121,8,11,140,468
245,2020-03-07,Friuli Venezia Giulia,3,1,4,7,11,0,0,11,0
246,2020-03-07,Lazio,17,0,17,5,22,0,0,22,209
247,2020-03-07,Liguria,14,1,15,3,18,0,1,19,102
248,2020-03-07,Lombardia,39,50,89,645,734,55,19,808,2222
249,2020-03-07,Marche,21,16,37,9,46,0,2,48,231
250,2020-03-07,Molise,0,0,0,2,2,0,0,2,8
251,2020-03-07,Piemonte,53,8,61,2,63,0,1,64,253
252,2020-03-07,Puglia,4,1,5,3,8,0,1,9,0
253,2020-03-07,Sardegna,0,0,0,0,0,0,0,0,0
254,2020-03-07,Sicilia,1,0,1,10,11,0,0,11,276
255,2020-03-07,Toscana,19,2,21,13,34,0,0,34,234
256,2020-03-07,Trentino-Alto Adige,6,1,7,2,9,0,0,9,72
257,2020-03-07,Umbria,0,0,0,8,8,0,0,8,24
